num_noise	seed	condition	mean_ood_acc	mean_mod_he	mean_seq_he
0	0	baseline	0.472675	0.008751	0.009125
0	0	he_reg	0.473005	0.008539	0.008885
3	0	baseline	0.471240	0.002472	0.001095
3	0	he_reg	0.471621	0.001895	0.000917
6	0	baseline	0.455402	0.004642	0.001263
6	0	he_reg	0.462999	0.003939	0.001005
9	0	baseline	0.409165	0.003735	0.000892
9	0	he_reg	0.454457	0.002673	0.000678
12	0	baseline	0.381739	0.007057	0.000893
12	0	he_reg	0.431189	0.005608	0.000692
15	0	baseline	0.426423	0.005394	0.000769
15	0	he_reg	0.417154	0.004370	0.000646
0	1	baseline	0.468388	0.008884	0.009240
0	1	he_reg	0.468620	0.008399	0.009520
3	1	baseline	0.463893	0.002550	0.001320
3	1	he_reg	0.464878	0.002106	0.001145
6	1	baseline	0.416919	0.003656	0.001247
6	1	he_reg	0.423526	0.002792	0.001025
9	1	baseline	0.433699	0.004262	0.000969
9	1	he_reg	0.445813	0.003163	0.000800
12	1	baseline	0.414692	0.004152	0.000869
12	1	he_reg	0.440565	0.003353	0.000715
15	1	baseline	0.443259	0.004659	0.000800
15	1	he_reg	0.444040	0.003617	0.000639
0	2	baseline	0.466509	0.008199	0.009145
0	2	he_reg	0.466891	0.007841	0.008820
3	2	baseline	0.462537	0.002976	0.001282
3	2	he_reg	0.465172	0.002149	0.001005
6	2	baseline	0.452750	0.003484	0.001153
6	2	he_reg	0.461985	0.002863	0.000981
9	2	baseline	0.390897	0.004960	0.000987
9	2	he_reg	0.451168	0.003862	0.000839
12	2	baseline	0.440697	0.004307	0.000888
12	2	he_reg	0.447881	0.003542	0.000676
15	2	baseline	0.432767	0.003908	0.000656
15	2	he_reg	0.433824	0.003409	0.000559
0	3	baseline	0.469675	0.008977	0.008971
0	3	he_reg	0.470439	0.008683	0.008824
3	3	baseline	0.472144	0.003107	0.001372
3	3	he_reg	0.469733	0.002438	0.001109
6	3	baseline	0.455602	0.003297	0.000974
6	3	he_reg	0.458135	0.002482	0.000774
9	3	baseline	0.431155	0.005501	0.000961
9	3	he_reg	0.451605	0.004370	0.000704
12	3	baseline	0.443738	0.004008	0.000862
12	3	he_reg	0.448858	0.003019	0.000711
15	3	baseline	0.405937	0.005673	0.000800
15	3	he_reg	0.407082	0.004649	0.000679
0	4	baseline	0.474512	0.008090	0.009299
0	4	he_reg	0.474219	0.007647	0.008957
3	4	baseline	0.469800	0.003289	0.001389
3	4	he_reg	0.469610	0.002513	0.001147
6	4	baseline	0.434756	0.004976	0.001254
6	4	he_reg	0.444811	0.003750	0.000962
9	4	baseline	0.443902	0.006154	0.001096
9	4	he_reg	0.448589	0.005181	0.000939
12	4	baseline	0.438177	0.005067	0.001022
12	4	he_reg	0.437627	0.004203	0.000842
15	4	baseline	0.406334	0.007101	0.001106
15	4	he_reg	0.410389	0.005188	0.000894
